epoch,blooming-feather-17 - _step,blooming-feather-17 - _step__MIN,blooming-feather-17 - _step__MAX,blooming-feather-17 - train/loss,blooming-feather-17 - train/loss__MIN,blooming-feather-17 - train/loss__MAX,blooming-feather-17 - val/loss,blooming-feather-17 - val/loss__MIN,blooming-feather-17 - val/loss__MAX
0,1.5,1,2,0.0003153849020040323,0.0003153849020040323,0.0003153849020040323,0.000040546229805880076,0.000040546229805880076,0.000040546229805880076
1,4.5,4,5,0.00007911992804350003,0.00007911992804350003,0.00007911992804350003,0.000042997110590289295,0.000042997110590289295,0.000042997110590289295
2,7.5,7,8,0.000060584220741633924,0.000060584220741633924,0.000060584220741633924,0.000026511627784227107,0.000026511627784227107,0.000026511627784227107
3,10.5,10,11,0.00004542957729886065,0.00004542957729886065,0.00004542957729886065,0.00002804370420331266,0.00002804370420331266,0.00002804370420331266
4,13.5,13,14,0.00003964724291869902,0.00003964724291869902,0.00003964724291869902,0.000027069735478759043,0.000027069735478759043,0.000027069735478759043
5,16.5,16,17,0.000033149825555487663,0.000033149825555487663,0.000033149825555487663,0.000042000091076184454,0.000042000091076184454,0.000042000091076184454
6,19.5,19,20,0.00003022034664347649,0.00003022034664347649,0.00003022034664347649,0.0000365647371900474,0.0000365647371900474,0.0000365647371900474
7,22.5,22,23,0.00002429298834354947,0.00002429298834354947,0.00002429298834354947,0.000018697060887665207,0.000018697060887665207,0.000018697060887665207
8,25.5,25,26,0.00002356149505198849,0.00002356149505198849,0.00002356149505198849,0.000018628648940990752,0.000018628648940990752,0.000018628648940990752
9,28.5,28,29,0.00010519474377951683,0.00010519474377951683,0.00010519474377951683,0.000030176958781371385,0.000030176958781371385,0.000030176958781371385
10,31.5,31,32,0.00003382829661794472,0.00003382829661794472,0.00003382829661794472,0.000021233532438760214,0.000021233532438760214,0.000021233532438760214
11,34.5,34,35,0.000026875697239783673,0.000026875697239783673,0.000026875697239783673,0.000019005210356289725,0.000019005210356289725,0.000019005210356289725
12,37.5,37,38,0.000019559160804928286,0.000019559160804928286,0.000019559160804928286,0.000013458199597188316,0.000013458199597188316,0.000013458199597188316
