epoch,rich-serenity-26 - _step,rich-serenity-26 - _step__MIN,rich-serenity-26 - _step__MAX,rich-serenity-26 - train/loss,rich-serenity-26 - train/loss__MIN,rich-serenity-26 - train/loss__MAX,rich-serenity-26 - val/loss,rich-serenity-26 - val/loss__MIN,rich-serenity-26 - val/loss__MAX,misunderstood-night-25 - _step,misunderstood-night-25 - _step__MIN,misunderstood-night-25 - _step__MAX,misunderstood-night-25 - train/loss,misunderstood-night-25 - train/loss__MIN,misunderstood-night-25 - train/loss__MAX,misunderstood-night-25 - val/loss,misunderstood-night-25 - val/loss__MIN,misunderstood-night-25 - val/loss__MAX
0,1.5,1,2,0.00019552995267618485,0.00019552995267618485,0.00019552995267618485,0.00004552703146501384,0.00004552703146501384,0.00004552703146501384,1.5,1,2,0.00020261218061392254,0.00020261218061392254,0.00020261218061392254,0.00008450407803987554,0.00008450407803987554,0.00008450407803987554
1,4.5,4,5,0.00003300278492577376,0.00003300278492577376,0.00003300278492577376,0.00008765117398878728,0.00008765117398878728,0.00008765117398878728,4.5,4,5,0.00003702662771866589,0.00003702662771866589,0.00003702662771866589,0.000031615457425512623,0.000031615457425512623,0.000031615457425512623
2,7.5,7,8,0.000024027350534953327,0.000024027350534953327,0.000024027350534953327,0.000012700708505987075,0.000012700708505987075,0.000012700708505987075,7.5,7,8,0.000027769005423229036,0.000027769005423229036,0.000027769005423229036,0.00004339168498411504,0.00004339168498411504,0.00004339168498411504
3,10.5,10,11,0.00001748031848587589,0.00001748031848587589,0.00001748031848587589,0.000007144269625160119,0.000007144269625160119,0.000007144269625160119,10.5,10,11,0.00001639369858624058,0.00001639369858624058,0.00001639369858624058,0.00001112045759376987,0.00001112045759376987,0.00001112045759376987
4,13.5,13,14,0.000015093361120718988,0.000015093361120718988,0.000015093361120718988,0.00001183171991041193,0.00001183171991041193,0.00001183171991041193,13.5,13,14,0.000017039964832959686,0.000017039964832959686,0.000017039964832959686,0.000010500579428715326,0.000010500579428715326,0.000010500579428715326
5,16.5,16,17,0.00001332301699651882,0.00001332301699651882,0.00001332301699651882,0.000006161207750205481,0.000006161207750205481,0.000006161207750205481,16.5,16,17,0.000011942459709400364,0.000011942459709400364,0.000011942459709400364,0.000010336469362767337,0.000010336469362767337,0.000010336469362767337
6,19.5,19,20,0.000010443419260100078,0.000010443419260100078,0.000010443419260100078,0.000004290207294672699,0.000004290207294672699,0.000004290207294672699,19.5,19,20,0.000010706252478339915,0.000010706252478339915,0.000010706252478339915,0.00002505498041873346,0.00002505498041873346,0.00002505498041873346
7,22.5,22,23,0.000011241206972714446,0.000011241206972714446,0.000011241206972714446,0.000008204950626717525,0.000008204950626717525,0.000008204950626717525,22.5,22,23,0.000010446417791888263,0.000010446417791888263,0.000010446417791888263,0.00002637898306752033,0.00002637898306752033,0.00002637898306752033
8,25.5,25,26,0.000009392246230155252,0.000009392246230155252,0.000009392246230155252,0.000009721489895308765,0.000009721489895308765,0.000009721489895308765,25.5,25,26,0.000010417138689256182,0.000010417138689256182,0.000010417138689256182,0.000011236982050577357,0.000011236982050577357,0.000011236982050577357
9,28.5,28,29,0.000008749287168177206,0.000008749287168177206,0.000008749287168177206,0.0000013944999391768406,0.0000013944999391768406,0.0000013944999391768406,28.5,28,29,0.000007776285198148256,0.000007776285198148256,0.000007776285198148256,0.000008678782342008648,0.000008678782342008648,0.000008678782342008648
10,31.5,31,32,0.000006532968292085602,0.000006532968292085602,0.000006532968292085602,0.000002168042603136001,0.000002168042603136001,0.000002168042603136001,31.5,31,32,0.000008939790543257814,0.000008939790543257814,0.000008939790543257814,0.000004792089939739005,0.000004792089939739005,0.000004792089939739005
11,34.5,34,35,0.00001120663669181341,0.00001120663669181341,0.00001120663669181341,0.000006114262065410499,0.000006114262065410499,0.000006114262065410499,34.5,34,35,0.000007089459889821353,0.000007089459889821353,0.000007089459889821353,0.000004316212285657886,0.000004316212285657886,0.000004316212285657886
12,37.5,37,38,0.000006799963253221487,0.000006799963253221487,0.000006799963253221487,0.000028474353933249376,0.000028474353933249376,0.000028474353933249376,37.5,37,38,0.000007083500557133814,0.000007083500557133814,0.000007083500557133814,0.0000015180304932841631,0.0000015180304932841631,0.0000015180304932841631
13,40.5,40,41,0.000006232546373400976,0.000006232546373400976,0.000006232546373400976,0.000006803349081087935,0.000006803349081087935,0.000006803349081087935,40.5,40,41,0.0002571487519033667,0.0002571487519033667,0.0002571487519033667,0.00046232381326992596,0.00046232381326992596,0.00046232381326992596
14,43.5,43,44,0.000005634542262313768,0.000005634542262313768,0.000005634542262313768,0.000007758670022788128,0.000007758670022788128,0.000007758670022788128,43.5,43,44,0.00006314152824907266,0.00006314152824907266,0.00006314152824907266,0.00001877101810678227,0.00001877101810678227,0.00001877101810678227
15,46.5,46,47,0.000005350743460919936,0.000005350743460919936,0.000005350743460919936,0.0000016713809547953563,0.0000016713809547953563,0.0000016713809547953563,46.5,46,47,0.00001624574645514595,0.00001624574645514595,0.00001624574645514595,0.000030453171504385442,0.000030453171504385442,0.000030453171504385442
16,49.5,49,50,0.000004762620000153282,0.000004762620000153282,0.000004762620000153282,0.000009258149280506722,0.000009258149280506722,0.000009258149280506722,49.5,49,50,0.0000141474849101437,0.0000141474849101437,0.0000141474849101437,0.000013001977866756478,0.000013001977866756478,0.000013001977866756478
17,52.5,52,53,0.0000056862427403747285,0.0000056862427403747285,0.0000056862427403747285,0.0000093679100922404,0.0000093679100922404,0.0000093679100922404,52.5,52,53,0.000014025355286306397,0.000014025355286306397,0.000014025355286306397,0.000004851186696619656,0.000004851186696619656,0.000004851186696619656
18,55.5,55,56,0.00010224680047217514,0.00010224680047217514,0.00010224680047217514,0.00005184104134278742,0.00005184104134278742,0.00005184104134278742,55.5,55,56,0.000012052659237521528,0.000012052659237521528,0.000012052659237521528,0.000012569651083325906,0.000012569651083325906,0.000012569651083325906
19,58.5,58,59,0.00002715874223308956,0.00002715874223308956,0.00002715874223308956,0.00001893061690960976,0.00001893061690960976,0.00001893061690960976,58.5,58,59,0.000010849950667065581,0.000010849950667065581,0.000010849950667065581,0.000023369621035281245,0.000023369621035281245,0.000023369621035281245
20,61.5,61,62,0.00001755639606519725,0.00001755639606519725,0.00001755639606519725,0.00001709604746332595,0.00001709604746332595,0.00001709604746332595,61.5,61,62,0.000009022441258143747,0.000009022441258143747,0.000009022441258143747,0.000009556865233990567,0.000009556865233990567,0.000009556865233990567
21,64.5,64,65,0.000015212646534767151,0.000015212646534767151,0.000015212646534767151,0.000010167691697173293,0.000010167691697173293,0.000010167691697173293,64.5,64,65,0.000007058682296341634,0.000007058682296341634,0.000007058682296341634,0.000003941496936909637,0.000003941496936909637,0.000003941496936909637
22,67.5,67,68,0.000012965517875717514,0.000012965517875717514,0.000012965517875717514,0.000022382255696443325,0.000022382255696443325,0.000022382255696443325,67.5,67,68,0.000006952637599263838,0.000006952637599263838,0.000006952637599263838,0.000007621339733818341,0.000007621339733818341,0.000007621339733818341
23,70.5,70,71,0.000011288102039241712,0.000011288102039241712,0.000011288102039241712,0.000008128206366866537,0.000008128206366866537,0.000008128206366866537,70.5,70,71,0.000006667115158781602,0.000006667115158781602,0.000006667115158781602,0.0000058152241437618,0.0000058152241437618,0.0000058152241437618
24,73.5,73,74,0.000009836269937682447,0.000009836269937682447,0.000009836269937682447,0.000016447851744789713,0.000016447851744789713,0.000016447851744789713,73.5,73,74,0.00000621874499050631,0.00000621874499050631,0.00000621874499050631,0.000009743043718534054,0.000009743043718534054,0.000009743043718534054
25,76.5,76,77,0.000008560859913887524,0.000008560859913887524,0.000008560859913887524,0.000004620500271884874,0.000004620500271884874,0.000004620500271884874,76.5,76,77,0.000005766114844048256,0.000005766114844048256,0.000005766114844048256,0.0000037159926249366304,0.0000037159926249366304,0.0000037159926249366304
26,79.5,79,80,0.000007756015836546574,0.000007756015836546574,0.000007756015836546574,0.000003260185532815673,0.000003260185532815673,0.000003260185532815673,79.5,79,80,0.000005815994909174701,0.000005815994909174701,0.000005815994909174701,0.00000699508108887696,0.00000699508108887696,0.00000699508108887696
27,82.5,82,83,0.000006590577423912295,0.000006590577423912295,0.000006590577423912295,0.000004219463288984785,0.000004219463288984785,0.000004219463288984785,82.5,82,83,0.000006427590398595498,0.000006427590398595498,0.000006427590398595498,0.000007123593136457692,0.000007123593136457692,0.000007123593136457692
28,85.5,85,86,9.198418106232084e-7,9.198418106232084e-7,9.198418106232084e-7,7.998463895811649e-7,7.998463895811649e-7,7.998463895811649e-7,85.5,85,86,0.000004818542943074855,0.000004818542943074855,0.000004818542943074855,0.0000019023693170211968,0.0000019023693170211968,0.0000019023693170211968
29,88.5,88,89,7.429864869094539e-7,7.429864869094539e-7,7.429864869094539e-7,8.115182258176781e-7,8.115182258176781e-7,8.115182258176781e-7,88.5,88,89,0.000005213591677186931,0.000005213591677186931,0.000005213591677186931,0.0000056141440838637204,0.0000056141440838637204,0.0000056141440838637204
30,91.5,91,92,6.386394031864019e-7,6.386394031864019e-7,6.386394031864019e-7,4.854473501458095e-7,4.854473501458095e-7,4.854473501458095e-7,91.5,91,92,0.000004560182033537824,0.000004560182033537824,0.000004560182033537824,0.00000399719104348003,0.00000399719104348003,0.00000399719104348003
31,94.5,94,95,5.432649752180541e-7,5.432649752180541e-7,5.432649752180541e-7,4.42622820625234e-7,4.42622820625234e-7,4.42622820625234e-7,94.5,94,95,0.000004468652300140535,0.000004468652300140535,0.000004468652300140535,0.000002848961969425432,0.000002848961969425432,0.000002848961969425432
32,97.5,97,98,4.88330552944668e-7,4.88330552944668e-7,4.88330552944668e-7,3.3419388394905394e-7,3.3419388394905394e-7,3.3419388394905394e-7,97.5,97,98,0.000004337552063448882,0.000004337552063448882,0.000004337552063448882,0.0000060007250608327315,0.0000060007250608327315,0.0000060007250608327315
33,100.5,100,101,4.368554595561427e-7,4.368554595561427e-7,4.368554595561427e-7,4.513501950767524e-7,4.513501950767524e-7,4.513501950767524e-7,100.5,100,101,0.000005072449218260707,0.000005072449218260707,0.000005072449218260707,0.000016253541668959847,0.000016253541668959847,0.000016253541668959847
34,103.5,103,104,4.156899442184375e-7,4.156899442184375e-7,4.156899442184375e-7,3.102544376984312e-7,3.102544376984312e-7,3.102544376984312e-7,103.5,103,104,0.00000381565291065629,0.00000381565291065629,0.00000381565291065629,0.0000034712266168631858,0.0000034712266168631858,0.0000034712266168631858
35,106.5,106,107,3.571955224661886e-7,3.571955224661886e-7,3.571955224661886e-7,3.211468371800456e-7,3.211468371800456e-7,3.211468371800456e-7,106.5,106,107,0.000016536500202782588,0.000016536500202782588,0.000016536500202782588,0.0000040741812864533346,0.0000040741812864533346,0.0000040741812864533346
