NeuralNetwork(
  (linear_afunc_stack): Sequential(
    (0): BatchNorm1d(5, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (1): Linear(in_features=5, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=200, bias=True)
    (3): Tanh()
    (4): Linear(in_features=200, out_features=200, bias=True)
    (5): Tanh()
    (6): Linear(in_features=200, out_features=1, bias=True)
  )
)
Epoch 1/200, Iteration 1/25, Loss: 0.0820
Epoch 1/200, Iteration 2/25, Loss: 1.2392
Epoch 1/200, Iteration 3/25, Loss: 3.6684
Epoch 1/200, Iteration 4/25, Loss: 2.3203
Epoch 1/200, Iteration 5/25, Loss: 1.1119
Epoch 1/200, Iteration 6/25, Loss: 0.2559
Epoch 1/200, Iteration 7/25, Loss: 0.8406
Epoch 1/200, Iteration 8/25, Loss: 0.6361
Epoch 1/200, Iteration 9/25, Loss: 0.5297
Epoch 1/200, Iteration 10/25, Loss: 0.2323
Epoch 1/200, Iteration 11/25, Loss: 0.2559
Epoch 1/200, Iteration 12/25, Loss: 0.3382
Epoch 1/200, Iteration 13/25, Loss: 0.3081
Epoch 1/200, Iteration 14/25, Loss: 0.3241
Epoch 1/200, Iteration 15/25, Loss: 0.3265
Epoch 1/200, Iteration 16/25, Loss: 0.1441
Epoch 1/200, Iteration 17/25, Loss: 0.3030
Epoch 1/200, Iteration 18/25, Loss: 0.1714
Epoch 1/200, Iteration 19/25, Loss: 0.2566
Epoch 1/200, Iteration 20/25, Loss: 0.2713
Epoch 1/200, Iteration 21/25, Loss: 0.1405
Epoch 1/200, Iteration 22/25, Loss: 0.2097
Epoch 1/200, Iteration 23/25, Loss: 0.1504
Epoch 1/200, Iteration 24/25, Loss: 0.1849
Epoch 1/200, Iteration 25/25, Loss: 0.1768
Train Error:
 Accuracy: 62.88%, Avg loss: 0.116355, MRE: 4.913927
Test Error:
 Accuracy: 67.0%, Avg loss: 0.118224, MRE: 5.462279
Epoch 2/200, Iteration 1/25, Loss: 0.1159
Epoch 2/200, Iteration 2/25, Loss: 0.2355
Epoch 2/200, Iteration 3/25, Loss: 0.1536
Epoch 2/200, Iteration 4/25, Loss: 0.1675
Epoch 2/200, Iteration 5/25, Loss: 0.1500
Epoch 2/200, Iteration 6/25, Loss: 0.1508
Epoch 2/200, Iteration 7/25, Loss: 0.1424
Epoch 2/200, Iteration 8/25, Loss: 0.0954
Epoch 2/200, Iteration 9/25, Loss: 0.0515
Epoch 2/200, Iteration 10/25, Loss: 0.1281
Epoch 2/200, Iteration 11/25, Loss: 0.0605
Epoch 2/200, Iteration 12/25, Loss: 0.0813
Epoch 2/200, Iteration 13/25, Loss: 0.0986
Epoch 2/200, Iteration 14/25, Loss: 0.0720
Epoch 2/200, Iteration 15/25, Loss: 0.1085
Epoch 2/200, Iteration 16/25, Loss: 0.0697
Epoch 2/200, Iteration 17/25, Loss: 0.0819
Epoch 2/200, Iteration 18/25, Loss: 0.0832
Epoch 2/200, Iteration 19/25, Loss: 0.0751
Epoch 2/200, Iteration 20/25, Loss: 0.0598
Epoch 2/200, Iteration 21/25, Loss: 0.1155
Epoch 2/200, Iteration 22/25, Loss: 0.0702
Epoch 2/200, Iteration 23/25, Loss: 0.0964
Epoch 2/200, Iteration 24/25, Loss: 0.0718
Epoch 2/200, Iteration 25/25, Loss: 0.1544
Train Error:
 Accuracy: 65.5%, Avg loss: 0.096469, MRE: 5.751892
Test Error:
